"Plot Title: 11009652"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009652, SEN S/N: 11009652)","Temp, °F (LGR S/N: 11009652, SEN S/N: 11009652)","DO Adj Conc, mg/L (LGR S/N: 11009652)","Coupler Attached (LGR S/N: 11009652)","Host Connected (LGR S/N: 11009652)","Coupler Detached (LGR S/N: 11009652)","End Of File (LGR S/N: 11009652)"
1,12/01/16 12:00:00 AM,12.72,40.60,,,,,
2,12/01/16 12:30:00 AM,12.72,40.64,,,,,
3,12/01/16 01:00:00 AM,12.74,40.50,,,,,
4,12/01/16 01:30:00 AM,12.81,40.53,,,,,
5,12/01/16 02:00:00 AM,12.74,40.46,,,,,
6,12/01/16 02:30:00 AM,12.95,40.57,,,,,
7,12/01/16 03:00:00 AM,12.88,40.46,,,,,
8,12/01/16 03:30:00 AM,12.85,40.46,,,,,
9,12/01/16 04:00:00 AM,12.80,40.46,,,,,
10,12/01/16 04:30:00 AM,12.71,40.46,,,,,
11,12/01/16 05:00:00 AM,12.48,40.39,,,,,
12,12/01/16 05:30:00 AM,12.49,40.35,,,,,
13,12/01/16 06:00:00 AM,12.45,40.35,,,,,
14,12/01/16 06:30:00 AM,12.37,40.35,,,,,
15,12/01/16 07:00:00 AM,12.28,40.32,,,,,
16,12/01/16 07:30:00 AM,12.19,40.28,,,,,
17,12/01/16 08:00:00 AM,12.15,40.28,,,,,
18,12/01/16 08:30:00 AM,12.09,40.24,,,,,
19,12/01/16 09:00:00 AM,12.11,40.28,,,,,
20,12/01/16 09:30:00 AM,12.08,40.32,,,,,
21,12/01/16 10:00:00 AM,12.08,40.32,,,,,
22,12/01/16 10:30:00 AM,12.13,40.32,,,,,
23,12/01/16 11:00:00 AM,12.24,40.35,,,,,
24,12/01/16 11:30:00 AM,12.39,40.39,,,,,
25,12/01/16 12:00:00 PM,12.39,40.39,,,,,
26,12/01/16 12:30:00 PM,12.43,40.42,,,,,
27,12/01/16 01:00:00 PM,12.53,40.42,,,,,
28,12/01/16 01:30:00 PM,12.58,40.42,,,,,
29,12/01/16 02:00:00 PM,12.67,40.46,,,,,
30,12/01/16 02:30:00 PM,12.75,40.46,,,,,
31,12/01/16 03:00:00 PM,12.87,40.46,,,,,
32,12/01/16 03:30:00 PM,12.97,40.46,,,,,
33,12/01/16 04:00:00 PM,13.02,40.50,,,,,
34,12/01/16 04:30:00 PM,13.11,40.50,,,,,
35,12/01/16 05:00:00 PM,13.19,40.50,,,,,
36,12/01/16 05:30:00 PM,13.25,40.50,,,,,
37,12/01/16 06:00:00 PM,13.33,40.53,,,,,
38,12/01/16 06:30:00 PM,13.24,40.46,,,,,
39,12/01/16 07:00:00 PM,13.11,40.35,,,,,
40,12/01/16 07:30:00 PM,13.23,40.42,,,,,
41,12/01/16 08:00:00 PM,13.27,40.46,,,,,
42,12/01/16 08:30:00 PM,13.04,40.21,,,,,
43,12/01/16 09:00:00 PM,13.05,40.21,,,,,
44,12/01/16 09:30:00 PM,13.13,40.28,,,,,
45,12/01/16 10:00:00 PM,12.88,40.06,,,,,
46,12/01/16 10:30:00 PM,12.90,40.14,,,,,
47,12/01/16 11:00:00 PM,12.97,40.14,,,,,
48,12/01/16 11:30:00 PM,13.10,40.21,,,,,
49,12/02/16 12:00:00 AM,12.92,40.10,,,,,
50,12/02/16 12:30:00 AM,12.74,39.99,,,,,
51,12/02/16 01:00:00 AM,12.78,39.96,,,,,
52,12/02/16 01:30:00 AM,12.65,39.92,,,,,
53,12/02/16 02:00:00 AM,12.70,39.92,,,,,
54,12/02/16 02:30:00 AM,12.69,39.88,,,,,
55,12/02/16 03:00:00 AM,12.68,39.74,,,,,
56,12/02/16 03:30:00 AM,12.47,39.60,,,,,
57,12/02/16 04:00:00 AM,12.70,39.60,,,,,
58,12/02/16 04:30:00 AM,12.53,39.49,,,,,
59,12/02/16 05:00:00 AM,12.43,39.42,,,,,
60,12/02/16 05:30:00 AM,12.23,39.34,,,,,
61,12/02/16 06:00:00 AM,12.60,39.34,,,,,
62,12/02/16 06:30:00 AM,12.45,39.27,,,,,
63,12/02/16 07:00:00 AM,12.32,39.16,,,,,
64,12/02/16 07:30:00 AM,12.23,39.02,,,,,
65,12/02/16 08:00:00 AM,12.19,38.98,,,,,
66,12/02/16 08:30:00 AM,12.25,39.13,,,,,
67,12/02/16 09:00:00 AM,12.44,39.09,,,,,
68,12/02/16 09:30:00 AM,12.35,38.95,,,,,
69,12/02/16 10:00:00 AM,12.27,38.84,,,,,
70,12/02/16 10:30:00 AM,12.33,38.70,,,,,
71,12/02/16 11:00:00 AM,12.45,38.70,,,,,
72,12/02/16 11:30:00 AM,12.51,38.84,,,,,
73,12/02/16 12:00:00 PM,12.51,38.95,,,,,
74,12/02/16 12:30:00 PM,12.52,39.02,,,,,
75,12/02/16 01:00:00 PM,12.57,39.09,,,,,
76,12/02/16 01:30:00 PM,12.95,39.09,,,,,
77,12/02/16 02:00:00 PM,13.14,39.06,,,,,
78,12/02/16 02:30:00 PM,13.21,39.06,,,,,
79,12/02/16 03:00:00 PM,13.14,39.13,,,,,
80,12/02/16 03:30:00 PM,13.19,39.09,,,,,
81,12/02/16 04:00:00 PM,13.21,39.13,,,,,
82,12/02/16 04:30:00 PM,13.22,39.20,,,,,
83,12/02/16 05:00:00 PM,13.18,39.16,,,,,
84,12/02/16 05:30:00 PM,13.18,39.13,,,,,
85,12/02/16 06:00:00 PM,13.10,39.09,,,,,
86,12/02/16 06:30:00 PM,13.30,38.98,,,,,
87,12/02/16 07:00:00 PM,13.38,39.02,,,,,
88,12/02/16 07:30:00 PM,13.45,39.06,,,,,
89,12/02/16 08:00:00 PM,13.49,39.06,,,,,
90,12/02/16 08:30:00 PM,13.49,38.91,,,,,
91,12/02/16 09:00:00 PM,13.65,38.98,,,,,
92,12/02/16 09:30:00 PM,13.62,39.06,,,,,
93,12/02/16 10:00:00 PM,13.52,39.02,,,,,
94,12/02/16 10:30:00 PM,13.45,38.88,,,,,
95,12/02/16 11:00:00 PM,13.47,38.73,,,,,
96,12/02/16 11:30:00 PM,13.47,38.77,,,,,
97,12/03/16 12:00:00 AM,13.41,38.59,,,,,
98,12/03/16 12:30:00 AM,13.39,38.52,,,,,
99,12/03/16 01:00:00 AM,13.35,38.48,,,,,
100,12/03/16 01:30:00 AM,13.32,38.44,,,,,
101,12/03/16 02:00:00 AM,13.27,38.48,,,,,
102,12/03/16 02:30:00 AM,13.22,38.66,,,,,
103,12/03/16 03:00:00 AM,13.14,38.66,,,,,
104,12/03/16 03:30:00 AM,13.09,38.59,,,,,
105,12/03/16 04:00:00 AM,13.17,38.23,,,,,
106,12/03/16 04:30:00 AM,13.10,38.34,,,,,
107,12/03/16 05:00:00 AM,13.02,38.34,,,,,
108,12/03/16 05:30:00 AM,12.94,38.34,,,,,
109,12/03/16 06:00:00 AM,12.91,38.30,,,,,
110,12/03/16 06:30:00 AM,12.75,38.30,,,,,
111,12/03/16 07:00:00 AM,12.72,38.23,,,,,
112,12/03/16 07:30:00 AM,12.64,38.30,,,,,
113,12/03/16 08:00:00 AM,12.62,38.41,,,,,
114,12/03/16 08:30:00 AM,12.58,38.34,,,,,
115,12/03/16 09:00:00 AM,12.61,38.16,,,,,
116,12/03/16 09:30:00 AM,12.69,38.12,,,,,
117,12/03/16 10:00:00 AM,12.65,38.19,,,,,
118,12/03/16 10:30:00 AM,12.61,38.30,,,,,
119,12/03/16 11:00:00 AM,12.62,38.37,,,,,
120,12/03/16 11:30:00 AM,12.63,38.37,,,,,
121,12/03/16 12:00:00 PM,12.67,38.37,,,,,
122,12/03/16 12:30:00 PM,12.82,38.37,,,,,
123,12/03/16 01:00:00 PM,12.95,38.34,,,,,
124,12/03/16 01:30:00 PM,13.20,38.26,,,,,
125,12/03/16 02:00:00 PM,13.34,38.34,,,,,
126,12/03/16 02:30:00 PM,13.39,38.44,,,,,
127,12/03/16 03:00:00 PM,13.58,38.44,,,,,
128,12/03/16 03:30:00 PM,13.85,38.37,,,,,
129,12/03/16 04:00:00 PM,13.89,38.37,,,,,
130,12/03/16 04:30:00 PM,13.98,38.41,,,,,
131,12/03/16 05:00:00 PM,14.07,38.48,,,,,
132,12/03/16 05:30:00 PM,14.15,38.48,,,,,
133,12/03/16 06:00:00 PM,14.14,38.48,,,,,
134,12/03/16 06:30:00 PM,14.09,38.48,,,,,
135,12/03/16 07:00:00 PM,14.08,38.44,,,,,
136,12/03/16 07:30:00 PM,14.07,38.41,,,,,
137,12/03/16 08:00:00 PM,14.03,38.37,,,,,
138,12/03/16 08:30:00 PM,14.00,38.26,,,,,
139,12/03/16 09:00:00 PM,13.94,38.37,,,,,
140,12/03/16 09:30:00 PM,13.93,38.37,,,,,
141,12/03/16 10:00:00 PM,13.93,38.26,,,,,
142,12/03/16 10:30:00 PM,13.90,38.30,,,,,
143,12/03/16 11:00:00 PM,13.89,38.37,,,,,
144,12/03/16 11:30:00 PM,13.88,38.37,,,,,
145,12/04/16 12:00:00 AM,13.84,38.37,,,,,
146,12/04/16 12:30:00 AM,13.94,38.26,,,,,
147,12/04/16 01:00:00 AM,14.03,38.19,,,,,
148,12/04/16 01:30:00 AM,14.04,38.19,,,,,
149,12/04/16 02:00:00 AM,14.04,38.08,,,,,
150,12/04/16 02:30:00 AM,14.03,38.12,,,,,
151,12/04/16 03:00:00 AM,13.98,38.19,,,,,
152,12/04/16 03:30:00 AM,13.87,38.26,,,,,
153,12/04/16 04:00:00 AM,13.69,38.34,,,,,
154,12/04/16 04:30:00 AM,13.52,38.34,,,,,
155,12/04/16 05:00:00 AM,13.43,38.34,,,,,
156,12/04/16 05:30:00 AM,13.21,38.23,,,,,
157,12/04/16 06:00:00 AM,13.15,38.12,,,,,
158,12/04/16 06:30:00 AM,13.08,37.94,,,,,
159,12/04/16 07:00:00 AM,13.09,37.76,,,,,
160,12/04/16 07:30:00 AM,13.11,37.62,,,,,
161,12/04/16 08:00:00 AM,13.13,37.58,,,,,
162,12/04/16 08:30:00 AM,13.11,37.47,,,,,
163,12/04/16 09:00:00 AM,13.05,37.47,,,,,
164,12/04/16 09:30:00 AM,13.02,37.47,,,,,
165,12/04/16 10:00:00 AM,12.99,37.47,,,,,
166,12/04/16 10:30:00 AM,12.95,37.47,,,,,
