"Plot Title: 11009652"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009652, SEN S/N: 11009652, LBL: DO)","Temp, °F (LGR S/N: 11009652, SEN S/N: 11009652, LBL: Temp)","Coupler Attached (LGR S/N: 11009652)","Host Connected (LGR S/N: 11009652)","Stopped (LGR S/N: 11009652)","End Of File (LGR S/N: 11009652)"
1,12/01/18 12:00:00 AM,9.18,66.24,,,,
2,12/01/18 12:30:00 AM,9.34,64.87,,,,
3,12/01/18 01:00:00 AM,8.60,72.10,,,,
4,12/01/18 01:30:00 AM,8.85,69.15,,,,
5,12/01/18 02:00:00 AM,9.14,66.70,,,,
6,12/01/18 02:30:00 AM,9.31,65.19,,,,
7,12/01/18 03:00:00 AM,8.93,68.94,,,,
8,12/01/18 03:30:00 AM,9.10,67.03,,,,
9,12/01/18 04:00:00 AM,9.29,65.26,,,,
10,12/01/18 04:30:00 AM,8.70,70.84,,,,
11,12/01/18 05:00:00 AM,9.00,67.82,,,,
12,12/01/18 05:30:00 AM,9.22,65.80,,,,
13,12/01/18 06:00:00 AM,8.57,71.85,,,,
14,12/01/18 06:30:00 AM,8.78,69.98,,,,
15,12/01/18 07:00:00 AM,9.09,67.03,,,,
16,12/01/18 07:30:00 AM,9.29,65.19,,,,
17,12/01/18 08:00:00 AM,8.58,71.78,,,,
18,12/01/18 08:30:00 AM,8.91,68.43,,,,
19,12/01/18 09:00:00 AM,9.17,66.16,,,,
20,12/01/18 09:30:00 AM,9.14,66.09,,,,
21,12/01/18 10:00:00 AM,8.67,70.95,,,,
22,12/01/18 10:30:00 AM,8.99,67.71,,,,
23,12/01/18 11:00:00 AM,9.20,65.70,,,,
24,12/01/18 11:30:00 AM,8.50,72.25,,,,
25,12/01/18 12:00:00 PM,8.75,69.84,,,,
26,12/01/18 12:30:00 PM,9.05,67.03,,,,
27,12/01/18 01:00:00 PM,9.25,65.34,,,,
28,12/01/18 01:30:00 PM,8.66,70.99,,,,
29,12/01/18 02:00:00 PM,8.95,68.11,,,,
30,12/01/18 02:30:00 PM,9.17,65.95,,,,
31,12/01/18 03:00:00 PM,8.51,71.17,,,,
32,12/01/18 03:30:00 PM,8.64,71.10,,,,
33,12/01/18 04:00:00 PM,8.99,67.64,,,,
34,12/01/18 04:30:00 PM,9.20,65.59,,,,
35,12/01/18 05:00:00 PM,8.64,71.10,,,,
36,12/01/18 05:30:00 PM,8.88,68.76,,,,
37,12/01/18 06:00:00 PM,9.14,66.34,,,,
38,12/01/18 06:30:00 PM,9.18,65.59,,,,
39,12/01/18 07:00:00 PM,8.66,71.10,,,,
40,12/01/18 07:30:00 PM,8.98,67.78,,,,
41,12/01/18 08:00:00 PM,9.20,65.70,,,,
42,12/01/18 08:30:00 PM,8.51,71.78,,,,
43,12/01/18 09:00:00 PM,8.74,70.09,,,,
44,12/01/18 09:30:00 PM,9.04,67.21,,,,
45,12/01/18 10:00:00 PM,9.25,65.34,,,,
46,12/01/18 10:30:00 PM,8.55,72.10,,,,
47,12/01/18 11:00:00 PM,8.84,69.08,,,,
48,12/01/18 11:30:00 PM,9.12,66.42,,,,
49,12/02/18 12:00:00 AM,9.29,64.87,,,,
50,12/02/18 12:30:00 AM,8.63,71.49,,,,
51,12/02/18 01:00:00 AM,8.95,68.14,,,,
52,12/02/18 01:30:00 AM,9.19,65.77,,,,
53,12/02/18 02:00:00 AM,8.88,68.90,,,,
54,12/02/18 02:30:00 AM,9.10,66.74,,,,
55,12/02/18 03:00:00 AM,8.76,69.22,,,,
56,12/02/18 03:30:00 AM,8.76,70.23,,,,
57,12/02/18 04:00:00 AM,9.09,67.03,,,,
58,12/02/18 04:30:00 AM,9.30,65.01,,,,
59,12/02/18 05:00:00 AM,9.01,68.00,,,,
60,12/02/18 05:30:00 AM,9.27,65.62,,,,
61,12/02/18 06:00:00 AM,8.70,71.74,,,,
62,12/02/18 06:30:00 AM,9.06,68.04,,,,
63,12/02/18 07:00:00 AM,9.33,65.52,,,,
64,12/02/18 07:30:00 AM,8.79,71.71,,,,
65,12/02/18 08:00:00 AM,9.15,68.04,,,,
66,12/02/18 08:30:00 AM,9.43,65.59,,,,
67,12/02/18 09:00:00 AM,8.88,71.92,,,,
68,12/02/18 09:30:00 AM,9.23,68.40,,,,
69,12/02/18 10:00:00 AM,9.53,65.88,,,,
70,12/02/18 10:30:00 AM,9.23,69.04,,,,
71,12/02/18 11:00:00 AM,9.47,66.78,,,,
72,12/02/18 11:30:00 AM,9.18,69.04,,,,
73,12/02/18 12:00:00 PM,9.41,67.42,,,,
74,12/02/18 12:30:00 PM,9.62,65.34,,,,
75,12/02/18 01:00:00 PM,9.03,71.35,,,,
76,12/02/18 01:30:00 PM,9.36,67.82,,,,
77,12/02/18 02:00:00 PM,9.61,65.55,,,,
78,12/02/18 02:30:00 PM,8.96,72.32,,,,
79,12/02/18 03:00:00 PM,9.27,68.90,,,,
80,12/02/18 03:30:00 PM,9.54,66.31,,,,
81,12/02/18 04:00:00 PM,9.04,70.16,,,,
82,12/02/18 04:30:00 PM,9.18,70.12,,,,
83,12/02/18 05:00:00 PM,9.48,67.03,,,,
84,12/02/18 05:30:00 PM,9.69,65.16,,,,
85,12/02/18 06:00:00 PM,9.10,71.31,,,,
86,12/02/18 06:30:00 PM,9.42,67.86,,,,
87,12/02/18 07:00:00 PM,9.66,65.59,,,,
88,12/02/18 07:30:00 PM,9.37,68.79,,,,
89,12/02/18 08:00:00 PM,9.62,66.20,,,,
90,12/02/18 08:30:00 PM,9.36,68.86,,,,
91,12/02/18 09:00:00 PM,9.63,66.09,,,,
92,12/02/18 09:30:00 PM,9.06,72.00,,,,
93,12/02/18 10:00:00 PM,9.42,68.22,,,,
94,12/02/18 10:30:00 PM,9.68,65.70,,,,
95,12/02/18 11:00:00 PM,9.38,68.79,,,,
96,12/02/18 11:30:00 PM,9.64,66.24,,,,
97,12/03/18 12:00:00 AM,9.36,69.12,,,,
98,12/03/18 12:30:00 AM,9.62,66.45,,,,
99,12/03/18 01:00:00 AM,9.34,69.33,,,,
100,12/03/18 01:30:00 AM,9.60,66.74,,,,
101,12/03/18 02:00:00 AM,9.00,72.86,,,,
102,12/03/18 02:30:00 AM,9.34,69.26,,,,
103,12/03/18 03:00:00 AM,9.65,66.34,,,,
