Plot Title: 11009654,,,,,,,
#,"Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009654, SEN S/N: 11009654, LBL: DO)","Temp, °F (LGR S/N: 11009654, SEN S/N: 11009654, LBL: Temp)",Coupler Attached (LGR S/N: 11009654),Host Connected (LGR S/N: 11009654),Stopped (LGR S/N: 11009654),End Of File (LGR S/N: 11009654)
1,12/2/2019 15:00,13.43,33.48,0.822222222,,,
2,12/2/2019 15:30,12.93,34.45,1.361111111,,,
3,12/2/2019 16:00,12.87,34.52,1.4,,,
4,12/2/2019 16:30,12.88,34.59,1.438888889,,,
5,12/2/2019 17:00,13.05,34.7,1.5,,,
6,12/2/2019 17:30,13.08,34.77,1.538888889,,,
7,12/2/2019 18:00,13.13,34.84,1.577777778,,,
8,12/2/2019 18:30,13.13,34.88,1.6,,,
9,12/2/2019 19:00,13.14,34.88,1.6,,,
10,12/2/2019 19:30,13.13,34.92,1.622222222,,,
11,12/2/2019 20:00,13.19,34.92,1.622222222,,,
12,12/2/2019 20:30,13.8,34.95,1.638888889,,,
13,12/2/2019 21:00,13.89,35.02,1.677777778,,,
14,12/2/2019 21:30,14.06,35.06,1.7,,,
15,12/2/2019 22:00,14.1,35.06,1.7,,,
16,12/2/2019 22:30,14.13,35.06,1.7,,,
17,12/2/2019 23:00,14.08,35.1,1.722222222,,,
18,12/2/2019 23:30,14.13,35.17,1.761111111,,,
19,12/3/2019 0:00,14.13,35.13,1.738888889,,,
20,12/3/2019 0:30,14.1,35.13,1.738888889,,,
21,12/3/2019 1:00,14.13,35.17,1.761111111,,,
22,12/3/2019 1:30,14.18,35.2,1.777777778,,,
23,12/3/2019 2:00,14.18,35.2,1.777777778,,,
24,12/3/2019 2:30,14.21,35.24,1.8,,,
25,12/3/2019 3:00,14.19,35.24,1.8,,,
26,12/3/2019 3:30,14.13,35.2,1.777777778,,,
27,12/3/2019 4:00,14.09,35.2,1.777777778,,,
28,12/3/2019 4:30,14.01,35.2,1.777777778,,,
29,12/3/2019 5:00,13.86,35.2,1.777777778,,,
30,12/3/2019 5:30,13.81,35.17,1.761111111,,,
31,12/3/2019 6:00,13.84,35.2,1.777777778,,,
32,12/3/2019 6:30,13.75,35.2,1.777777778,,,
33,12/3/2019 7:00,13.58,35.2,1.777777778,,,
34,12/3/2019 7:30,13.48,35.2,1.777777778,,,
35,12/3/2019 8:00,13.1,35.28,1.822222222,,,
36,12/3/2019 8:30,12.73,35.35,1.861111111,,,
37,12/3/2019 9:00,12.06,35.46,1.922222222,,,
38,12/3/2019 9:30,12.45,35.49,1.938888889,,,
39,12/3/2019 10:00,12.72,35.46,1.922222222,,,
40,12/3/2019 10:30,12.81,35.42,1.9,,,
41,12/3/2019 11:00,12.72,35.49,1.938888889,,,
42,12/3/2019 11:30,12.82,35.49,1.938888889,,,
43,12/3/2019 12:00,12.9,35.49,1.938888889,,,
44,12/3/2019 12:30,13.02,35.46,1.922222222,,,
45,12/3/2019 13:00,13.15,35.46,1.922222222,,,
46,12/3/2019 13:30,13.24,35.46,1.922222222,,,
47,12/3/2019 14:00,13.29,35.46,1.922222222,,,
48,12/3/2019 14:30,13.31,35.53,1.961111111,,,
49,12/3/2019 15:00,13.3,35.49,1.938888889,,,
50,12/3/2019 15:30,13.3,35.49,1.938888889,,,
51,12/3/2019 16:00,13.65,35.42,1.9,,,
52,12/3/2019 16:30,14.18,35.49,1.938888889,,,
53,12/3/2019 17:00,14.22,35.67,2.038888889,,,
54,12/3/2019 17:30,14.28,35.82,2.122222222,,,
55,12/3/2019 18:00,14.29,35.96,2.2,,,
56,12/3/2019 18:30,14.3,36.14,2.3,,,
57,12/3/2019 19:00,14.34,36.25,2.361111111,,,
58,12/3/2019 19:30,14.37,36.32,2.4,,,
59,12/3/2019 20:00,14.44,36.36,2.422222222,,,
60,12/3/2019 20:30,14.49,36.43,2.461111111,,,
61,12/3/2019 21:00,14.52,36.46,2.477777778,,,
62,12/3/2019 21:30,14.58,36.5,2.5,,,
63,12/3/2019 22:00,14.57,36.54,2.522222222,,,
64,12/3/2019 22:30,14.55,36.54,2.522222222,,,
65,12/3/2019 23:00,14.55,36.54,2.522222222,,,
66,12/3/2019 23:30,14.58,36.57,2.538888889,,,
67,12/4/2019 0:00,14.6,36.61,2.561111111,,,
68,12/4/2019 0:30,14.58,36.61,2.561111111,,,
69,12/4/2019 1:00,14.59,36.61,2.561111111,,,
70,12/4/2019 1:30,14.42,36.54,2.522222222,,,
71,12/4/2019 2:00,14.43,36.57,2.538888889,,,
72,12/4/2019 2:30,14.45,36.61,2.561111111,,,
73,12/4/2019 3:00,14.46,36.61,2.561111111,,,
74,12/4/2019 3:30,14.35,36.57,2.538888889,,,
75,12/4/2019 4:00,14.32,36.57,2.538888889,,,
76,12/4/2019 4:30,14.21,36.54,2.522222222,,,
77,12/4/2019 5:00,14.17,36.54,2.522222222,,,
78,12/4/2019 5:30,14.14,36.54,2.522222222,,,
79,12/4/2019 6:00,14.16,36.5,2.5,,,
80,12/4/2019 6:30,14.18,36.54,2.522222222,,,
81,12/4/2019 7:00,14.24,36.54,2.522222222,,,
82,12/4/2019 7:30,14.27,36.54,2.522222222,,,
83,12/4/2019 8:00,14.23,36.57,2.538888889,,,
84,12/4/2019 8:30,14.09,36.57,2.538888889,,,
85,12/4/2019 9:00,13.76,36.61,2.561111111,,,
86,12/4/2019 9:30,13.76,36.57,2.538888889,,,
87,12/4/2019 10:00,13.7,36.61,2.561111111,,,
