"Plot Title: 11009653"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009653, SEN S/N: 11009653, LBL: DO)","Temp, °F (LGR S/N: 11009653, SEN S/N: 11009653, LBL: Temp)","Sensor Data Error (LGR S/N: 11009653)","Coupler Attached (LGR S/N: 11009653)","Host Connected (LGR S/N: 11009653)","Stopped (LGR S/N: 11009653)","End Of File (LGR S/N: 11009653)"
1,12/01/20 03:00:00 PM,13.88,36.10,,,,,
2,12/01/20 03:30:00 PM,13.55,36.07,,,,,
3,12/01/20 04:00:00 PM,13.29,36.07,,,,,
4,12/01/20 04:30:00 PM,13.02,36.03,,,,,
5,12/01/20 05:00:00 PM,12.29,36.03,,,,,
6,12/01/20 05:30:00 PM,11.64,36.07,,,,,
7,12/01/20 06:00:00 PM,10.97,36.03,,,,,
8,12/01/20 06:30:00 PM,10.33,36.07,,,,,
9,12/01/20 07:00:00 PM,10.23,36.03,,,,,
10,12/01/20 07:30:00 PM,9.80,36.07,,,,,
11,12/01/20 08:00:00 PM,9.78,36.07,,,,,
12,12/01/20 08:30:00 PM,9.49,36.07,,,,,
13,12/01/20 09:00:00 PM,8.91,36.10,,,,,
14,12/01/20 09:30:00 PM,8.53,36.10,,,,,
15,12/01/20 10:00:00 PM,7.46,36.14,,,,,
16,12/01/20 10:30:00 PM,7.41,36.25,,,,,
17,12/01/20 11:00:00 PM,8.08,36.25,,,,,
18,12/01/20 11:30:00 PM,8.00,36.25,,,,,
19,12/02/20 12:00:00 AM,8.19,36.28,,,,,
20,12/02/20 12:30:00 AM,7.97,36.28,,,,,
21,12/02/20 01:00:00 AM,8.31,36.32,,,,,
22,12/02/20 01:30:00 AM,8.59,36.36,,,,,
23,12/02/20 02:00:00 AM,8.78,36.36,,,,,
24,12/02/20 02:30:00 AM,8.82,36.39,,,,,
25,12/02/20 03:00:00 AM,8.64,36.36,,,,,
26,12/02/20 03:30:00 AM,8.53,36.43,,,,,
27,12/02/20 04:00:00 AM,8.27,36.46,,,,,
28,12/02/20 04:30:00 AM,8.51,36.46,,,,,
29,12/02/20 05:00:00 AM,8.30,36.46,,,,,
30,12/02/20 05:30:00 AM,8.45,36.46,,,,,
31,12/02/20 06:00:00 AM,8.73,36.50,,,,,
32,12/02/20 06:30:00 AM,8.89,36.61,,,,,
33,12/02/20 07:00:00 AM,8.83,36.61,,,,,
34,12/02/20 07:30:00 AM,8.73,36.64,,,,,
35,12/02/20 08:00:00 AM,8.04,36.61,,,,,
36,12/02/20 08:30:00 AM,12.45,36.54,,,,,
37,12/02/20 09:00:00 AM,10.42,36.64,,,,,
38,12/02/20 09:30:00 AM,8.45,36.79,,,,,
39,12/02/20 10:00:00 AM,8.08,36.79,,,,,
40,12/02/20 10:30:00 AM,8.53,36.79,,,,,
41,12/02/20 11:00:00 AM,7.75,36.75,,,,,
42,12/02/20 11:30:00 AM,8.51,36.82,,,,,
43,12/02/20 12:00:00 PM,8.40,36.82,,,,,
44,12/02/20 12:30:00 PM,8.56,36.93,,,,,
45,12/02/20 01:00:00 PM,8.77,36.90,,,,,
46,12/02/20 01:30:00 PM,8.54,36.90,,,,,
47,12/02/20 02:00:00 PM,8.92,37.00,,,,,
48,12/02/20 02:30:00 PM,8.96,37.04,,,,,
49,12/02/20 03:00:00 PM,9.45,37.08,,,,,
50,12/02/20 03:30:00 PM,10.18,37.08,,,,,
51,12/02/20 04:00:00 PM,10.19,37.08,,,,,
52,12/02/20 04:30:00 PM,9.37,37.08,,,,,
53,12/02/20 05:00:00 PM,9.50,37.11,,,,,
54,12/02/20 05:30:00 PM,8.95,37.18,,,,,
55,12/02/20 06:00:00 PM,9.35,37.22,,,,,
56,12/02/20 06:30:00 PM,10.00,37.22,,,,,
57,12/02/20 07:00:00 PM,10.63,37.36,,,,,
58,12/02/20 07:30:00 PM,12.26,37.33,,,,,
59,12/02/20 08:00:00 PM,11.43,37.36,,,,,
60,12/02/20 08:30:00 PM,11.60,37.40,,,,,
61,12/02/20 09:00:00 PM,10.86,37.47,,,,,
62,12/02/20 09:30:00 PM,10.95,37.51,,,,,
63,12/02/20 10:00:00 PM,11.91,37.51,,,,,
64,12/02/20 10:30:00 PM,12.32,37.51,,,,,
65,12/02/20 11:00:00 PM,12.65,37.54,,,,,
66,12/02/20 11:30:00 PM,12.76,37.54,,,,,
67,12/03/20 12:00:00 AM,12.48,37.58,,,,,
68,12/03/20 12:30:00 AM,12.64,37.62,,,,,
69,12/03/20 01:00:00 AM,12.52,37.62,,,,,
70,12/03/20 01:30:00 AM,12.45,37.65,,,,,
71,12/03/20 02:00:00 AM,11.79,37.62,,,,,
72,12/03/20 02:30:00 AM,12.29,37.62,,,,,
73,12/03/20 03:00:00 AM,12.29,37.65,,,,,
74,12/03/20 03:30:00 AM,12.25,37.62,,,,,
75,12/03/20 04:00:00 AM,11.97,37.62,,,,,
76,12/03/20 04:30:00 AM,12.88,37.62,,,,,
77,12/03/20 05:00:00 AM,12.67,37.65,,,,,
78,12/03/20 05:30:00 AM,13.25,37.62,,,,,
79,12/03/20 06:00:00 AM,12.50,37.69,,,,,
80,12/03/20 06:30:00 AM,13.42,37.65,,,,,
81,12/03/20 07:00:00 AM,12.52,37.72,,,,,
82,12/03/20 07:30:00 AM,12.05,37.69,,,,,
83,12/03/20 08:00:00 AM,12.00,37.72,,,,,
84,12/03/20 08:30:00 AM,13.12,37.87,,,,,
85,12/03/20 09:00:00 AM,15.06,37.76,,,,,
86,12/03/20 09:30:00 AM,12.89,37.76,,,,,
87,12/03/20 10:00:00 AM,12.30,37.80,,,,,
88,12/03/20 10:30:00 AM,12.88,37.80,,,,,
89,12/03/20 11:00:00 AM,12.88,37.83,,,,,
90,12/03/20 11:30:00 AM,12.06,37.90,,,,,
91,12/03/20 12:00:00 PM,12.11,37.98,,,,,
92,12/03/20 12:30:00 PM,10.65,38.05,,,,,
93,12/03/20 01:00:00 PM,13.63,38.05,,,,,
94,12/03/20 01:30:00 PM,13.19,38.12,,,,,
95,12/03/20 02:00:00 PM,12.25,38.12,,,,,
96,12/03/20 02:30:00 PM,12.84,38.12,,,,,
97,12/03/20 03:00:00 PM,12.18,38.16,,,,,
98,12/03/20 03:30:00 PM,12.76,38.16,,,,,
99,12/03/20 04:00:00 PM,12.22,38.16,,,,,
100,12/03/20 04:30:00 PM,14.90,38.16,,,,,
101,12/03/20 05:00:00 PM,14.17,38.19,,,,,
102,12/03/20 05:30:00 PM,13.58,38.19,,,,,
103,12/03/20 06:00:00 PM,13.72,38.19,,,,,
104,12/03/20 06:30:00 PM,13.33,38.19,,,,,
105,12/03/20 07:00:00 PM,12.60,38.19,,,,,
106,12/03/20 07:30:00 PM,13.06,38.19,,,,,
107,12/03/20 08:00:00 PM,12.75,38.16,,,,,
108,12/03/20 08:30:00 PM,13.15,38.16,,,,,
109,12/03/20 09:00:00 PM,13.01,38.16,,,,,
110,12/03/20 09:30:00 PM,12.56,38.16,,,,,
111,12/03/20 10:00:00 PM,12.71,38.12,,,,,
