"Plot Title: 11009652"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009652, SEN S/N: 11009652, LBL: DO)","Temp, °F (LGR S/N: 11009652, SEN S/N: 11009652, LBL: Temp)","Coupler Attached (LGR S/N: 11009652)","Coupler Detached (LGR S/N: 11009652)","Host Connected (LGR S/N: 11009652)","Stopped (LGR S/N: 11009652)","End Of File (LGR S/N: 11009652)"
1,11/19/21 12:00:00 PM,13.25,36.90,,,,,
2,11/19/21 12:30:00 PM,12.96,37.00,,,,,
3,11/19/21 01:00:00 PM,12.97,37.04,,,,,
4,11/19/21 01:30:00 PM,13.22,36.86,,,,,
5,11/19/21 02:00:00 PM,14.40,36.75,,,,,
6,11/19/21 02:30:00 PM,14.52,36.72,,,,,
7,11/19/21 03:00:00 PM,14.03,36.86,,,,,
8,11/19/21 03:30:00 PM,14.40,36.79,,,,,
9,11/19/21 04:00:00 PM,14.40,36.79,,,,,
10,11/19/21 04:30:00 PM,14.54,36.75,,,,,
11,11/19/21 05:00:00 PM,14.48,36.68,,,,,
12,11/19/21 05:30:00 PM,14.52,36.61,,,,,
13,11/19/21 06:00:00 PM,14.54,36.57,,,,,
14,11/19/21 06:30:00 PM,14.51,36.54,,,,,
15,11/19/21 07:00:00 PM,14.18,36.50,,,,,
16,11/19/21 07:30:00 PM,14.50,36.68,,,,,
17,11/19/21 08:00:00 PM,14.34,36.54,,,,,
18,11/19/21 08:30:00 PM,14.14,36.46,,,,,
19,11/19/21 09:00:00 PM,14.09,36.32,,,,,
20,11/19/21 09:30:00 PM,14.36,36.28,,,,,
21,11/19/21 10:00:00 PM,14.33,36.25,,,,,
22,11/19/21 10:30:00 PM,14.36,36.25,,,,,
23,11/19/21 11:00:00 PM,14.44,36.28,,,,,
24,11/19/21 11:30:00 PM,14.40,36.25,,,,,
25,11/20/21 12:00:00 AM,14.30,36.18,,,,,
26,11/20/21 12:30:00 AM,14.43,36.14,,,,,
27,11/20/21 01:00:00 AM,14.34,36.10,,,,,
28,11/20/21 01:30:00 AM,14.40,36.10,,,,,
29,11/20/21 02:00:00 AM,14.32,36.03,,,,,
30,11/20/21 02:30:00 AM,14.10,36.03,,,,,
31,11/20/21 03:00:00 AM,14.31,35.96,,,,,
32,11/20/21 03:30:00 AM,13.98,35.92,,,,,
33,11/20/21 04:00:00 AM,14.31,35.89,,,,,
34,11/20/21 04:30:00 AM,13.90,35.96,,,,,
35,11/20/21 05:00:00 AM,13.81,36.03,,,,,
36,11/20/21 05:30:00 AM,13.73,36.14,,,,,
37,11/20/21 06:00:00 AM,13.67,36.21,,,,,
38,11/20/21 06:30:00 AM,13.51,36.36,,,,,
39,11/20/21 07:00:00 AM,13.44,36.46,,,,,
40,11/20/21 07:30:00 AM,13.36,36.50,,,,,
41,11/20/21 08:00:00 AM,13.20,36.64,,,,,
42,11/20/21 08:30:00 AM,13.19,36.61,,,,,
43,11/20/21 09:00:00 AM,13.04,36.75,,,,,
44,11/20/21 09:30:00 AM,13.11,36.82,,,,,
45,11/20/21 10:00:00 AM,12.84,36.82,,,,,
46,11/20/21 10:30:00 AM,12.93,36.90,,,,,
47,11/20/21 11:00:00 AM,13.00,37.04,,,,,
48,11/20/21 11:30:00 AM,12.98,37.26,,,,,
49,11/20/21 12:00:00 PM,12.99,37.36,,,,,
50,11/20/21 12:30:00 PM,13.14,37.33,,,,,
51,11/20/21 01:00:00 PM,13.16,37.26,,,,,
52,11/20/21 01:30:00 PM,13.20,37.51,,,,,
53,11/20/21 02:00:00 PM,13.16,37.87,,,,,
54,11/20/21 02:30:00 PM,13.20,37.80,,,,,
55,11/20/21 03:00:00 PM,13.28,37.87,,,,,
56,11/20/21 03:30:00 PM,13.41,37.94,,,,,
57,11/20/21 04:00:00 PM,13.65,37.98,,,,,
58,11/20/21 04:30:00 PM,13.64,38.05,,,,,
59,11/20/21 05:00:00 PM,13.59,38.01,,,,,
60,11/20/21 05:30:00 PM,12.96,38.12,,,,,
61,11/20/21 06:00:00 PM,13.01,38.01,,,,,
62,11/20/21 06:30:00 PM,12.78,38.12,,,,,
63,11/20/21 07:00:00 PM,12.82,38.16,,,,,
64,11/20/21 07:30:00 PM,13.01,38.12,,,,,
65,11/20/21 08:00:00 PM,13.27,38.12,,,,,
66,11/20/21 08:30:00 PM,13.27,38.23,,,,,
67,11/20/21 09:00:00 PM,13.05,38.37,,,,,
68,11/20/21 09:30:00 PM,12.78,38.41,,,,,
69,11/20/21 10:00:00 PM,12.84,38.44,,,,,
70,11/20/21 10:30:00 PM,12.81,38.52,,,,,
71,11/20/21 11:00:00 PM,12.63,38.48,,,,,
72,11/20/21 11:30:00 PM,12.44,38.55,,,,,
73,11/21/21 12:00:00 AM,12.52,38.62,,,,,
74,11/21/21 12:30:00 AM,12.47,38.62,,,,,
75,11/21/21 01:00:00 AM,12.51,38.66,,,,,
76,11/21/21 01:30:00 AM,12.36,38.70,,,,,
