"Plot Title: 11009653"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009653, SEN S/N: 11009653, LBL: DO)","Temp, °F (LGR S/N: 11009653, SEN S/N: 11009653, LBL: Temp)","Coupler Detached (LGR S/N: 11009653)","Coupler Attached (LGR S/N: 11009653)","Host Connected (LGR S/N: 11009653)","Stopped (LGR S/N: 11009653)","End Of File (LGR S/N: 11009653)"
1,11/19/21 12:00:00 PM,13.16,39.02,,,,,
2,11/19/21 12:30:00 PM,12.95,36.36,,,,,
3,11/19/21 01:00:00 PM,13.24,36.50,,,,,
4,11/19/21 01:30:00 PM,13.48,36.54,,,,,
5,11/19/21 02:00:00 PM,13.68,36.68,,,,,
6,11/19/21 02:30:00 PM,14.05,36.54,,,,,
7,11/19/21 03:00:00 PM,14.09,36.72,,,,,
8,11/19/21 03:30:00 PM,14.12,36.79,,,,,
9,11/19/21 04:00:00 PM,14.54,36.68,,,,,
10,11/19/21 04:30:00 PM,14.70,36.54,,,,,
11,11/19/21 05:00:00 PM,14.28,36.54,,,,,
12,11/19/21 05:30:00 PM,14.25,36.46,,,,,
13,11/19/21 06:00:00 PM,14.49,36.36,,,,,
14,11/19/21 06:30:00 PM,14.29,36.39,,,,,
15,11/19/21 07:00:00 PM,14.11,36.46,,,,,
16,11/19/21 07:30:00 PM,13.75,36.64,,,,,
17,11/19/21 08:00:00 PM,13.76,36.64,,,,,
18,11/19/21 08:30:00 PM,13.63,36.61,,,,,
19,11/19/21 09:00:00 PM,13.52,36.61,,,,,
20,11/19/21 09:30:00 PM,13.54,36.46,,,,,
21,11/19/21 10:00:00 PM,13.51,36.39,,,,,
22,11/19/21 10:30:00 PM,13.51,36.36,,,,,
23,11/19/21 11:00:00 PM,13.39,36.36,,,,,
24,11/19/21 11:30:00 PM,13.39,36.25,,,,,
25,11/20/21 12:00:00 AM,13.29,36.25,,,,,
26,11/20/21 12:30:00 AM,13.37,36.07,,,,,
27,11/20/21 01:00:00 AM,13.19,36.10,,,,,
28,11/20/21 01:30:00 AM,13.18,36.10,,,,,
29,11/20/21 02:00:00 AM,13.11,36.14,,,,,
30,11/20/21 02:30:00 AM,13.04,36.18,,,,,
31,11/20/21 03:00:00 AM,12.96,36.25,,,,,
32,11/20/21 03:30:00 AM,12.80,36.36,,,,,
33,11/20/21 04:00:00 AM,12.80,36.36,,,,,
34,11/20/21 04:30:00 AM,12.78,36.36,,,,,
35,11/20/21 05:00:00 AM,12.82,36.25,,,,,
36,11/20/21 05:30:00 AM,12.87,36.18,,,,,
37,11/20/21 06:00:00 AM,12.81,36.25,,,,,
38,11/20/21 06:30:00 AM,12.87,36.21,,,,,
39,11/20/21 07:00:00 AM,12.84,36.18,,,,,
40,11/20/21 07:30:00 AM,12.78,36.21,,,,,
41,11/20/21 08:00:00 AM,12.74,36.25,,,,,
42,11/20/21 08:30:00 AM,12.68,36.32,,,,,
43,11/20/21 09:00:00 AM,12.60,36.39,,,,,
44,11/20/21 09:30:00 AM,12.54,36.39,,,,,
45,11/20/21 10:00:00 AM,12.49,36.46,,,,,
46,11/20/21 10:30:00 AM,12.52,36.50,,,,,
47,11/20/21 11:00:00 AM,12.54,36.54,,,,,
48,11/20/21 11:30:00 AM,12.60,36.57,,,,,
49,11/20/21 12:00:00 PM,12.73,36.79,,,,,
50,11/20/21 12:30:00 PM,12.81,37.29,,,,,
51,11/20/21 01:00:00 PM,13.00,37.44,,,,,
52,11/20/21 01:30:00 PM,13.13,37.62,,,,,
53,11/20/21 02:00:00 PM,13.16,37.80,,,,,
54,11/20/21 02:30:00 PM,13.26,37.87,,,,,
55,11/20/21 03:00:00 PM,13.17,37.94,,,,,
56,11/20/21 03:30:00 PM,13.11,38.08,,,,,
57,11/20/21 04:00:00 PM,13.10,38.16,,,,,
58,11/20/21 04:30:00 PM,13.15,38.23,,,,,
59,11/20/21 05:00:00 PM,13.17,38.23,,,,,
60,11/20/21 05:30:00 PM,13.15,38.26,,,,,
61,11/20/21 06:00:00 PM,13.14,38.26,,,,,
62,11/20/21 06:30:00 PM,13.11,38.30,,,,,
63,11/20/21 07:00:00 PM,13.07,38.30,,,,,
64,11/20/21 07:30:00 PM,13.01,38.30,,,,,
65,11/20/21 08:00:00 PM,12.99,38.34,,,,,
