Location,DATE,TIME,NROWS,SheetBar,Zmax,Zmax QF,Secchi,Secchi QF,Wave Code,Zice,Zice QF,ZSice,ZSice QF,PctIce,PctIce QF,Zsnow,Zsnow QF,PctSnow,PctSnow QF,Veg Cover,DuckWeed Cover,Fil.Algae Covr,Veg Density,Veg Type,Site Comment,Row #,Z,  QF ,Temp,  QF _1,D.O.,  QF _2,pH,  QF _3,Cond,  QF _4,Turb,  QF _5,Raw NTU,  QF _6,Vel,  QF _7,Dir,  QF _8,Smpl. Barcode,DIN,MET,SRP,SS,CHS,CHF,PHY,TNP
PL01.0P,12/12/2016,2:53:00 PM,2,40015000,2.14,,118,,,9,,9,,100,,2,,100,,0,0,0,,, LDO OXYGEN ,11,0.2,,1.1,,12.5,,8,,561,,,,,,0,,,X,,,,,,,,,
PL01.0P,12/12/2016,2:53:00 PM,2,40015000,2.14,,118,,,9,,9,,100,,2,,100,,0,0,0,,, LDO OXYGEN ,22,1.94,,3.1,,12.8,,7.9,,573,,,X,,X,0,,,X,,,,,,,,,
PL01.0P,12/23/2016,11:39:00 AM,2,40015005,2.12,,84,,,21,,21,,100,,6,,100,,0,0,0,,, LDO OXYGEN ,11,0.2,,0.5,,12.6,,7.9,,599,,,,,,0,,,X,,,,,,,,,
PL01.0P,12/23/2016,11:39:00 AM,2,40015005,2.12,,84,,,21,,21,,100,,6,,100,,0,0,0,,, LDO OXYGEN ,22,2.02,,1.8,,9.4,,7.7,,583,,,X,,X,0,,,X,,,,,,,,,
PL01.0P,1/17/2017,3:41:00 PM,2,40015011,2.18,,,5,,40,,38,,100,,7,,100,,0,0,0,,, LDO OXYGEN ,11,0.2,,0.2,,12.2,,7.8,,680,,3,,3,,0.01,,360,,,,,,,,,,
PL01.0P,1/17/2017,3:41:00 PM,2,40015011,2.18,,,5,,40,,38,,100,,7,,100,,0,0,0,,, LDO OXYGEN ,22,1.98,,2.2,,6.1,,7.5,,649,,,X,,X,0,,,X,,,,,,,,,
PL01.0P,1/26/2017,2:10:00 PM,2,40015178,2.19,,128,,,38,,36,,100,,6,,100,,0,0,0,,,,11,0.2,,0.1,,12.3,,7.8,,612,,3,,3,,0.01,,360,X,,,,,,,,,
PL01.0P,1/26/2017,2:10:00 PM,2,40015178,2.19,,128,,,38,,36,,100,,6,,100,,0,0,0,,,,22,1.99,,2.1,,8.9,,7.7,,665,,,X,,X,0.01,,360,X,,,,,,,,,
PL01.0P,2/15/2017,3:57:00 PM,2,40015181,2.09,,115,,,44,,40,,100,,,5,0,,0,0,0,,,,11,0.2,,1.4,,12.8,,8,,609,,4,,4,,0.01,,360,X,,,,,,,,,
PL01.0P,2/15/2017,3:57:00 PM,2,40015181,2.09,,115,,,44,,40,,100,,,5,0,,0,0,0,,,,22,1.89,,2.6,,12.2,,7.8,,600,,,X,,X,0,,,X,,,,,,,,,
PL01.0P,2/22/2017,12:40:00 PM,2,40015186,2.17,,122,,,30,,30,,100,,,5,0,,0,0,0,,,,11,0.2,,3.8,,12.9,,7.9,,543,,5,,5,,0.01,,360,X,,,,,,,,,
PL01.0P,2/22/2017,12:40:00 PM,2,40015186,2.17,,122,,,30,,30,,100,,,5,0,,0,0,0,,,,22,1.97,,3.2,,13,,7.8,,577,,,X,,X,0.01,,360,X,,,,,,,,,
PL01.0P,6/15/2017,2:26:00 PM,2,40015208,2.2,,152,,,,,,,,,,,,,3,,,2,S,,11,0.2,,26.4,,9,,8.3,,565,,4,,4,,,5,,,,,,,,,,,
PL01.0P,6/15/2017,2:26:00 PM,2,40015208,2.2,,152,,,,,,,,,,,,,3,,,2,S,,22,2,,22.9,,3,,7.8,,563,,,,,,,,,,,,,,,,,,
PL01.0P,6/29/2017,12:00:00 PM,2,40015210,1.34,,118,,,,,,,,,,,,,3,,,2,S,Not sure what time was when sampled.,11,0.2,,22.2,,10.9,,8.6,,580,,,,,,0.02,,360,,,,,,,,,,
PL01.0P,6/29/2017,12:00:00 PM,2,40015210,1.34,,118,,,,,,,,,,,,,3,,,2,S,Not sure what time was when sampled.,22,1.14,,21.2,,9.3,,8.4,,583,,,,,,,,,,,,,,,,,,
PL01.0P,7/14/2017,12:00:00 PM,2,40015212,2.1,,190,,,,,,,,,,,,,3,,,2,S,Not sure what time was when sampled.,11,0.2,,23.9,,9.9,,8.4,,522,,2,,2,,0.01,,360,X,,,,,,,,,
PL01.0P,7/14/2017,12:00:00 PM,2,40015212,2.1,,190,,,,,,,,,,,,,3,,,2,S,Not sure what time was when sampled.,22,1.9,,21,,2.1,,7.7,,484,,,,,,,,,,,,,,,,,,
PL01.0P,7/26/2017,4:01:00 PM,2,40015214,2.2,,175,,,,,,,,,,,,,3,,,2,S,,11,0.2,,26.1,,9.1,,8.5,,508,,5,,5,,0,,,X,,,,,,,,,
PL01.0P,7/26/2017,4:01:00 PM,2,40015214,2.2,,175,,,,,,,,,,,,,3,,,2,S,,22,2,,22.2,,0.5,,7.5,,455,,,,,,,,,,,,,,,,,,
PL01.0P,8/7/2017,2:56:00 PM,1,40015216,2.3,,214,,,,,,,,,,,,,3,,,2,S,Current velocity measurement may have been influenced by wind.,11,0.2,,25.4,,12.5,,8.7,,421,,2,,2,,0.04,,360,,,,,,,,,,
PL01.0P,8/23/2017,2:22:00 PM,2,40015218,1.92,,,5,,,,,,,,,,,,3,,,2,S,,11,0.2,,24.3,,12.2,,8.7,,435,,2,,2,,0.01,,350,X,,,,,,,,,
PL01.0P,8/23/2017,2:22:00 PM,2,40015218,1.92,,,5,,,,,,,,,,,,3,,,2,S,,22,1.72,,21.1,,1.7,,7.6,,435,,,,,,,,,,,,,,,,,,
PL01.0P,9/6/2017,2:05:00 PM,2,40015220,1.64,,164,2,,,,,,,,,,,,3,,,2,S,,11,0.2,,19.2,,13.5,,8.6,,507,,2,,2,,0.01,,360,X,,,,,,,,,
PL01.0P,9/6/2017,2:05:00 PM,2,40015220,1.64,,164,2,,,,,,,,,,,,3,,,2,S,,22,1.44,,17.6,,5.4,,7.8,,509,,,,,,,,,,,,,,,,,,
PL01.0P,10/4/2017,11:13:00 AM,2,40015222,1.62,,123,,,,,,,,,,,,,,,,,,,11,0.2,,18,,6.6,,7.9,,512,,4,,4,,0.02,,30,,,,,,,,,,
PL01.0P,10/4/2017,11:13:00 AM,2,40015222,1.62,,123,,,,,,,,,,,,,,,,,,,22,1.42,,17.3,,4.9,,7.8,,513,,,,,,,,,,,,,,,,,,
PL01.0P,10/31/2017,1:46:00 PM,2,40015224,1.61,,113,,,,,,,,,,,,,,,,,,,11,0.2,,6.1,,10.5,,8.2,,595,,5,,5,,0.01,,360,X,,,,,,,,,
PL01.0P,10/31/2017,1:46:00 PM,2,40015224,1.61,,113,,,,,,,,,,,,,,,,,,,22,1.4,,6.1,,10.2,,8.2,,593,,,,,,,,,,,,,,,,,,
PL01.0P,12/19/2017,11:10:00 AM,2,40015393,2.2,,192,,,12,,12,,100,,1,,100,,,,,,,,11,0.2,,0,,12.8,,7.9,,518,,4,,4,,0.01,,360,,,,,,,,,,
PL01.0P,12/19/2017,11:10:00 AM,2,40015393,2.2,,192,,,12,,12,,100,,1,,100,,,,,,,,22,2,,1.2,,9.8,,7.7,,523,,,X,,X,,X,,X,,,,,,,,,
PL01.0P,1/10/2018,12:30:00 PM,2,40015396,2.2,,186,,,34,,34,,100,,3,,100,,,,,,,,11,0.2,,0.8,,12.7,,8,,549,,,5,,5,0,,,X,,,,,,,,,
PL01.0P,1/10/2018,12:30:00 PM,2,40015396,2.2,,186,,,34,,34,,100,,3,,100,,,,,,,,22,2,,2.2,,3.8,,7.6,,588,,,X,,X,,X,,X,,,,,,,,,
PL01.0P,2/14/2018,1:31:00 PM,2,40015397,2.4,,163,,,54,,54,,100,,5,,100,,,,,,,,11,0.2,,0.9,,12.1,,7.8,,518,,2,,2,,0,,,X,,,,,,,,,
PL01.0P,2/14/2018,1:31:00 PM,2,40015397,2.4,,163,,,54,,54,,100,,5,,100,,,,,,,,22,2.2,,1.8,,7,,7.5,,543,,,X,,X,,X,,X,,,,,,,,,
PL01.0P,3/22/2018,11:31:00 AM,2,40015400,2.45,,165,,,42,,42,,100,,1,,100,,,,,,,,11,0.2,,1.4,,13.6,,8.1,,584,,5,,5,,0.03,,350,,,,,,,,,,
PL01.0P,3/22/2018,11:31:00 AM,2,40015400,2.45,,165,,,42,,42,,100,,1,,100,,,,,,,,22,2.25,,2,,13,,8,,617,,,X,,X,,X,,X,,,,,,,,,
PL01.0P,6/12/2018,2:03:00 PM,2,40015378,2.23,,180,,,,,,,,,,,,,,,,,,,11,0.2,,23.4,,9.5,,8.3,,508,,3,,3,,0.01,,30,,,,,,,,,,
PL01.0P,6/12/2018,2:03:00 PM,2,40015378,2.23,,180,,,,,,,,,,,,,,,,,,,22,2.03,,19.1,,6.4,,7.9,,471,,,,,,,,,,,,,,,,,,
PL01.0P,6/27/2018,10:23:00 AM,2,40015380,1.88,,108,,,,,,,,,,,,,,,,,,Logger about 100 yards downriver of site. Buoy covered with vegetation.,11,0.2,,23.8,,6.3,,7.9,,462,,5,,5,,0.15,,360,,,,,,,,,,
PL01.0P,6/27/2018,10:23:00 AM,2,40015380,1.88,,108,,,,,,,,,,,,,,,,,,Logger about 100 yards downriver of site. Buoy covered with vegetation.,22,1.68,,23.7,,6.4,,7.9,,462,,,,,,,,,,,,,,,,,,
PL01.0P,7/10/2018,2:25:00 PM,2,40015382,2.17,,180,,,,,,,,,,,,,,,,,,Very little vegetation o buoy.,11,0.2,,26,,8.2,,8.1,,552,,2,,2,,0.06,,180,,,,,,,,,,
